kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
b+tree.1.sm_52.ptx 276 : 512 3182 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 275 : 512 151897 12640 0 0 512 512 0 0 
b+tree.1.sm_52.ptx 268 : 131072 810464 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 262 : 262144 9045632 0 0 0 8192 8192 0 0 
b+tree.1.sm_52.ptx 261 : 262144 78414752 464128 0 0 39856 8192 0 0 
b+tree.1.sm_52.ptx 260 : 262144 2616128 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 259 : 262144 2040320 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 258 : 262144 2681088 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 257 : 262144 2683328 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 256 : 262144 51111136 0 0 0 8192 8192 0 0 
b+tree.1.sm_52.ptx 252 : 1024 5332 0 0 0 1024 1024 0 0 
b+tree.1.sm_52.ptx 251 : 1024 196986 0 0 0 1024 1024 0 0 
b+tree.1.sm_52.ptx 255 : 262144 1377088 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 249 : 262144 1380185 0 0 0 0 0 0 1024 
b+tree.1.sm_52.ptx 244 : 1024 4283 0 0 0 1024 1024 0 0 
b+tree.1.sm_52.ptx 242 : 1024 0 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 241 : 1024 6295 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 240 : 1024 220688 12896 0 0 1024 1024 0 0 
b+tree.1.sm_52.ptx 239 : 1024 9372 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 238 : 1024 7631 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 237 : 1024 9618 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 236 : 1024 9629 0 0 0 0 0 0 0 
b+tree.1.sm_52.ptx 235 : 1024 111730 0 0 0 1024 1024 0 0 
b+tree.1.sm_52.ptx 248 : 262144 1680960 0 0 0 0 0 0 0 
