kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop.1.sm_52.pptx 195 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 194 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 189 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 188 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 185 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 184 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 183 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 182 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 181 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 180 : 16 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 176 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 175 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 174 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 173 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 172 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 171 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 170 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 169 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 168 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 167 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 166 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 165 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 164 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 163 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 160 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 159 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 158 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 157 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 156 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 155 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 154 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 153 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 152 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 149 : 15360 0 0 0 0 0 0 0 0 
backprop.1.sm_52.pptx 148 : 15360 0 0 0 0 0 0 0 0 
