kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_52.ptx 146 : 30660 148160 0 0 0 4022 4022 0 0 
bfs.1.sm_52.ptx 145 : 30660 193087 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 144 : 30660 148293 0 0 0 4022 4022 0 0 
bfs.1.sm_52.ptx 143 : 30660 221356 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 142 : 30660 146562 0 0 0 4022 4022 0 0 
bfs.1.sm_52.ptx 141 : 30660 319256 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 149 : 307200 1928576 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 140 : 30660 224413 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 139 : 30660 142630 0 0 0 4022 4022 0 0 
bfs.1.sm_52.ptx 138 : 30660 205700 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 67 : 30661 312631 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 66 : 30661 220147 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 65 : 30661 5998807 0 0 0 7054 4023 0 0 
bfs.1.sm_52.ptx 64 : 30661 313124 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 63 : 30661 220002 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 61 : 30661 0 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 60 : 30661 219960 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 99 : 307200 1902144 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 59 : 30661 16691620 0 0 0 7054 4023 0 0 
bfs.1.sm_52.ptx 58 : 30661 319345 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 137 : 30660 327132 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 57 : 30661 326812 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 136 : 30660 232800 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 56 : 30661 227935 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 55 : 30661 220097 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 134 : 307200 1778046 0 0 0 0 0 0 4022 
bfs.1.sm_52.ptx 54 : 30661 251301 0 0 0 4023 4023 0 0 
bfs.1.sm_52.ptx 133 : 307200 2250208 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 53 : 30661 200626 0 0 0 0 0 0 0 
bfs.1.sm_52.ptx 132 : 307200 63520224 0 0 0 9600 9600 0 0 
