kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
euler3d.1.sm_52.ptx 929 : 582912 2418368 0 0 0 18216 18216 0 0 
euler3d.1.sm_52.ptx 928 : 582912 5857152 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 623 : 582912 3498240 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 622 : 582912 2340352 0 0 0 18216 18216 0 0 
euler3d.1.sm_52.ptx 621 : 582912 5878688 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 620 : 582912 2606080 0 0 0 18216 18216 0 0 
euler3d.1.sm_52.ptx 619 : 582912 5912672 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 618 : 582912 2647072 0 0 0 18216 18216 0 0 
euler3d.1.sm_52.ptx 617 : 582912 5929632 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 616 : 582912 2648032 0 0 0 18216 18216 0 0 
euler3d.1.sm_52.ptx 615 : 582912 6018464 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 614 : 582912 2768384 0 0 0 18216 18216 0 0 
euler3d.1.sm_52.ptx 613 : 582912 6124160 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 612 : 582912 4256384 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 611 : 582912 4301728 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 610 : 582912 1806624 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 607 : 582912 4383648 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 606 : 582912 6044128 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 605 : 582912 4397504 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 604 : 582912 4322880 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 603 : 582912 4659936 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 602 : 582912 4852384 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 601 : 582912 4955584 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 600 : 582912 6682464 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 599 : 582912 6729376 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 598 : 582912 5125376 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 597 : 582912 5177984 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 596 : 582912 5102464 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 595 : 582912 6613664 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 594 : 582912 5024800 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 593 : 582912 4944480 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 592 : 582912 4797216 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 591 : 582912 4679744 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 590 : 582912 6438976 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 589 : 582912 6378432 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 588 : 582912 4641056 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 587 : 582912 4661824 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 586 : 582912 4625632 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 585 : 582912 4827520 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 584 : 582912 4786880 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 583 : 582912 6583200 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 582 : 582912 4968768 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 581 : 582912 5140704 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 580 : 582912 5144192 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 579 : 582912 6695104 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 578 : 582912 6803712 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 577 : 582912 5231424 0 0 0 0 0 0 0 
euler3d.1.sm_52.ptx 576 : 582912 6678016 0 0 0 0 0 0 0 
