kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stencil2d_x.1.sm_52.pptx 150 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 149 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 138 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 134 : 240 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 98 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 97 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 96 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 95 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 88 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 92 : 240 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 91 : 240 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 85 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 84 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 153 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 74 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 152 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 73 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 151 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 72 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 115 : 240 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 36 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 35 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 34 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 112 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 33 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 32 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 148 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 69 : 240 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 31 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 147 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 68 : 240 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 109 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 30 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 108 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 29 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 28 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 65 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 21 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 116 : 240 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 37 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 20 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 57 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 27 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 22 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 23 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 139 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 60 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 26 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 38 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 39 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 119 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 40 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 120 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 41 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 121 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 42 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 45 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 127 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 48 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 128 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 49 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 50 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 51 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 131 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 52 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 53 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 135 : 240 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 56 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 140 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 61 : 256 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 141 : 16 0 0 0 0 0 0 0 0 
stencil2d_x.1.sm_52.pptx 62 : 256 0 0 0 0 0 0 0 0 
