kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
copy_only.1.sm_52.pptx 46 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 32 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 31 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 28 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 45 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 33 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 26 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 43 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 27 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 44 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 34 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 35 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 36 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 37 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 38 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 39 : 256 0 0 0 0 0 0 0 0 
copy_only.1.sm_52.pptx 40 : 256 0 0 0 0 0 0 0 0 
