kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian.1.sm_52.ptx 141 : 1680 6944 0 0 0 315 110 0 0 
gaussian.1.sm_52.ptx 140 : 1680 15120 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 139 : 1680 904136 0 0 0 315 110 0 0 
gaussian.1.sm_52.ptx 138 : 1680 17040 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 137 : 1680 15184 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 136 : 1680 15152 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 135 : 1680 209614 0 0 0 1680 110 0 0 
gaussian.1.sm_52.ptx 134 : 1680 884694 0 0 0 110 110 0 0 
gaussian.1.sm_52.ptx 133 : 1680 15120 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 144 : 924160 5786880 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 132 : 1680 16763 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 131 : 1680 11899 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 130 : 1680 15137 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 60 : 1680 34159 0 0 0 1680 56 0 0 
gaussian.1.sm_52.ptx 59 : 1680 15192 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 58 : 1680 73920 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 57 : 1680 630633 0 0 0 1680 56 0 0 
gaussian.1.sm_52.ptx 56 : 1680 406864 0 0 0 56 56 0 0 
gaussian.1.sm_52.ptx 55 : 1680 15120 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 54 : 1680 10257 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 53 : 1680 15120 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 52 : 1680 10257 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 51 : 1680 18428 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 50 : 1680 16364 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 129 : 1680 10469 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 49 : 1680 10080 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 48 : 1680 15120 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 127 : 358170 1939704 0 0 0 0 0 0 110 
gaussian.1.sm_52.ptx 84 : 924160 12198336 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 47 : 1680 10080 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 126 : 358170 2455778 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 83 : 924160 31482560 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 46 : 1680 10080 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 125 : 358170 11616984 0 0 0 179085 11635 0 0 
gaussian.1.sm_52.ptx 82 : 924160 52019392 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 45 : 1680 15725 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 124 : 358170 3341142 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 63 : 5120 29824 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 33 : 5120 31040 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 112 : 358170 4488070 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 32 : 5120 49280 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 111 : 358170 4555806 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 31 : 5120 313312 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 110 : 358170 4409710 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 30 : 5120 311296 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 109 : 358170 4372182 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 28 : 5120 349152 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 107 : 358170 5274768 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 29 : 5120 307040 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 108 : 358170 4586262 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 34 : 5120 25600 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 113 : 358170 4660144 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 35 : 5120 58240 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 114 : 358170 4753194 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 36 : 5120 50176 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 115 : 358170 5296264 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 37 : 5120 48352 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 116 : 358170 147583290 0 0 0 11635 11635 0 0 
gaussian.1.sm_52.ptx 38 : 5120 32224 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 117 : 358170 154219636 0 0 0 179085 11635 0 0 
gaussian.1.sm_52.ptx 39 : 5120 19772 0 0 0 0 0 0 10 
gaussian.1.sm_52.ptx 118 : 358170 3573800 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 41 : 1680 11149 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 120 : 358170 2531988 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 42 : 1680 12084 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 121 : 358170 3485082 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 43 : 1680 16633 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 122 : 358170 3443102 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 44 : 1680 15504 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 123 : 358170 180413660 0 0 0 179085 11635 0 0 
gaussian.1.sm_52.ptx 85 : 924160 12106976 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 86 : 924160 12214848 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 87 : 924160 9275936 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 88 : 924160 6083744 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 89 : 924160 5913760 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 90 : 924160 6578560 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 91 : 924160 13490688 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 92 : 924160 8213824 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 93 : 924160 10983104 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 94 : 924160 6865472 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 95 : 924160 2994226 0 0 0 0 0 0 1520 
gaussian.1.sm_52.ptx 97 : 510720 3286046 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 98 : 510720 3392082 0 0 0 0 0 0 0 
gaussian.1.sm_52.ptx 99 : 510720 3886688 0 0 0 0 0 0 0 
