kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
hotspot.1.sm_52.pptx 209 : 946688 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 206 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 205 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 204 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 203 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 202 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 201 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 200 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 199 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 198 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 197 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 196 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 195 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 192 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 191 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 190 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 189 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 188 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 187 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 186 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 185 : 617360 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 182 : 946688 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 181 : 946688 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 180 : 946688 0 0 0 0 0 0 0 0 
hotspot.1.sm_52.pptx 179 : 946688 0 0 0 0 0 0 0 0 
