kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
3D.1.sm_52.ptx 187 : 1048576 6659200 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 186 : 1048576 4870304 0 0 0 131072 32768 0 0 
3D.1.sm_52.ptx 185 : 1048576 9582848 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 184 : 1048576 10693888 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 183 : 1048576 390901664 4056832 0 0 131072 32768 0 0 
3D.1.sm_52.ptx 182 : 1048576 10669376 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 181 : 1048576 9571296 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 180 : 1048576 10657760 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 179 : 1048576 100838592 26784 0 0 131072 32768 0 0 
3D.1.sm_52.ptx 178 : 1048576 10630688 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 177 : 1048576 122845152 136512 0 0 131072 32768 0 0 
3D.1.sm_52.ptx 176 : 1048576 10626240 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 175 : 1048576 127925472 12800 0 0 161792 32768 0 0 
3D.1.sm_52.ptx 174 : 1048576 10640928 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 173 : 1048576 122142560 23104 0 0 161792 32768 0 0 
3D.1.sm_52.ptx 164 : 6291456 59164000 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 163 : 6291456 77370752 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 162 : 6291456 76454496 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 161 : 6291456 76488864 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 160 : 6291456 78957824 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 159 : 6291456 112502400 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 158 : 6291456 70628000 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 157 : 6291456 66147552 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 156 : 6291456 61246464 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 155 : 6291456 27377472 0 0 0 786432 196608 0 0 
3D.1.sm_52.ptx 154 : 6291456 57686944 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 153 : 6291456 63989312 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 152 : 6291456 2760782816 25124224 0 0 786432 196608 0 0 
3D.1.sm_52.ptx 151 : 6291456 63755648 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 150 : 6291456 2715800992 24307520 0 0 786432 196608 0 0 
3D.1.sm_52.ptx 149 : 6291456 57728704 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 148 : 6291456 63710656 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 147 : 6291456 504564768 44128 0 0 786432 196608 0 0 
3D.1.sm_52.ptx 146 : 6291456 63692128 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 145 : 6291456 600097856 614912 0 0 786432 196608 0 0 
3D.1.sm_52.ptx 144 : 6291456 63926848 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 143 : 6291456 712074592 32512 0 0 970752 196608 0 0 
3D.1.sm_52.ptx 142 : 6291456 63680896 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 141 : 6291456 689232192 54080 0 0 970752 196608 0 0 
3D.1.sm_52.ptx 171 : 7340032 35597888 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 170 : 7340032 72728160 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 169 : 7340032 67149120 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 168 : 7340032 58024832 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 167 : 7340032 64259840 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 138 : 1048576 8777952 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 137 : 1048576 11112832 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 136 : 1048576 10280064 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 135 : 1048576 10197536 0 0 0 0 0 0 0 
3D.1.sm_52.ptx 134 : 1048576 10330720 0 0 0 0 0 0 0 
