kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
kmeans.1.sm_52.ptx 287 : 131072 1017920 0 0 0 16384 4096 0 0 
kmeans.1.sm_52.ptx 286 : 131072 1351008 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 285 : 131072 1359584 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 284 : 131072 967968 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 282 : 135424 27616 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 244 : 131072 892224 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 243 : 655360 3835328 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 194 : 1310720 13334496 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 193 : 1310720 13346112 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 192 : 1310720 13613280 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 191 : 1310720 12348192 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 190 : 1310720 102260928 418176 0 0 163840 40960 0 0 
kmeans.1.sm_52.ptx 189 : 1310720 34458048 0 0 0 40960 40960 0 0 
kmeans.1.sm_52.ptx 188 : 1310720 13772288 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 187 : 1310720 13700576 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 186 : 1310720 12417664 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 185 : 1310720 105257728 406656 0 0 163840 40960 0 0 
kmeans.1.sm_52.ptx 184 : 1310720 34540608 0 0 0 40960 40960 0 0 
kmeans.1.sm_52.ptx 183 : 1310720 13936576 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 182 : 1310720 13674912 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 181 : 1310720 12394560 0 0 0 0 0 0 0 
kmeans.1.sm_52.ptx 180 : 1310720 117602912 402944 0 0 163840 40960 0 0 
