kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nn_cuda.1.sm_52.ptx 60 : 524288 3194880 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 57 : 524288 3312544 0 0 0 65536 16384 0 0 
nn_cuda.1.sm_52.ptx 56 : 524288 14082176 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 55 : 524288 4778400 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 54 : 524288 4785600 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 53 : 524288 4783520 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 52 : 524288 27281664 0 0 0 131072 16384 0 0 
nn_cuda.1.sm_52.ptx 51 : 524288 5027808 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 50 : 524288 469649088 3590400 0 0 131072 16384 0 0 
nn_cuda.1.sm_52.ptx 49 : 524288 7043296 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 48 : 524288 5921088 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 47 : 524288 4565024 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 46 : 524288 6071392 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 34 : 524288 5701568 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 33 : 524288 7054240 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 32 : 524288 6943968 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 31 : 524288 6975552 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 29 : 524288 59903584 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 30 : 524288 46868800 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 35 : 524288 3706912 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 36 : 524288 3467744 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 37 : 524288 6202848 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 38 : 524288 4157984 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 39 : 524288 4362784 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 40 : 524288 6463776 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 41 : 524288 4181920 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 42 : 524288 0 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 44 : 524288 4079552 0 0 0 0 0 0 0 
nn_cuda.1.sm_52.ptx 45 : 524288 5704416 0 0 0 0 0 0 0 
