kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
needle.1.sm_52.ptx 817 : 10944 54720 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 816 : 10944 54720 0 0 0 1710 342 0 0 
needle.1.sm_52.ptx 815 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 814 : 10944 372096 0 342 342 0 0 0 0 
needle.1.sm_52.ptx 813 : 10944 43776 0 0 0 1368 342 0 0 
needle.1.sm_52.ptx 812 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 811 : 10944 385600 0 342 342 0 0 0 0 
needle.1.sm_52.ptx 810 : 10944 57280 0 0 0 1710 342 0 0 
needle.1.sm_52.ptx 809 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 808 : 10944 388544 0 342 342 0 0 0 0 
needle.1.sm_52.ptx 807 : 10944 56384 0 0 0 1710 342 0 0 
needle.1.sm_52.ptx 806 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 805 : 10944 390400 0 342 342 0 0 0 0 
needle.1.sm_52.ptx 804 : 10944 57664 0 0 0 1710 342 0 0 
needle.1.sm_52.ptx 803 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 802 : 10944 383040 0 342 342 0 0 0 0 
needle.1.sm_52.ptx 801 : 10944 54720 0 0 0 1710 342 0 0 
needle.1.sm_52.ptx 800 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 799 : 10944 383040 0 342 342 0 0 0 0 
needle.1.sm_52.ptx 798 : 10944 54720 0 0 0 1710 342 0 0 
needle.1.sm_52.ptx 797 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 796 : 10944 383232 0 342 342 0 0 0 0 
needle.1.sm_52.ptx 795 : 10944 54912 0 0 0 1710 342 0 0 
needle.1.sm_52.ptx 794 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 793 : 10944 384800 0 342 342 0 0 0 0 
needle.1.sm_52.ptx 792 : 10944 56192 0 0 0 1710 342 0 0 
needle.1.sm_52.ptx 791 : 10944 98496 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 388 : 45144 406296 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 372 : 43776 393984 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 371 : 43776 2632032 0 43776 2052 0 0 0 0 
needle.1.sm_52.ptx 370 : 43776 437760 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 369 : 43776 393984 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 368 : 43776 2604672 0 43776 2052 0 0 0 0 
needle.1.sm_52.ptx 367 : 43776 437760 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 366 : 43776 393984 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 365 : 43776 2951552 0 43776 2052 0 0 0 0 
needle.1.sm_52.ptx 364 : 43776 393984 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 363 : 43776 1666816 0 2052 2052 0 0 0 0 
needle.1.sm_52.ptx 362 : 43776 393984 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 360 : 87552 218880 0 0 0 0 0 0 1368 
needle.1.sm_52.ptx 359 : 87552 525312 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 358 : 87552 787968 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 354 : 42408 1279422 0 42408 2052 0 0 0 0 
needle.1.sm_52.ptx 353 : 42408 424080 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 357 : 87552 437760 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 352 : 42408 381672 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 351 : 42408 424080 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 350 : 42408 381672 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 349 : 42408 2546019 0 42408 2052 0 0 0 0 
needle.1.sm_52.ptx 348 : 42408 424080 0 0 0 0 0 0 0 
needle.1.sm_52.ptx 347 : 42408 381672 0 0 0 0 0 0 0 
