kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
particlefilter_naive.1.sm_52.ptx 91 : 9216 46080 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 88 : 9000 55800 0 0 0 2250 288 0 0 
particlefilter_naive.1.sm_52.ptx 87 : 9000 81000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 86 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 85 : 9000 1843896 0 0 0 315 288 0 0 
particlefilter_naive.1.sm_52.ptx 84 : 9000 81000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 83 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 82 : 9000 55352 0 0 0 2250 288 0 0 
particlefilter_naive.1.sm_52.ptx 81 : 9000 81000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 80 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 79 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 78 : 9000 1737096 0 0 0 315 288 0 0 
particlefilter_naive.1.sm_52.ptx 77 : 9000 81000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 76 : 9000 81000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 75 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 74 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 47 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 46 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 45 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 43 : 9216 1080 0 0 0 0 0 0 9 
particlefilter_naive.1.sm_52.ptx 42 : 9216 55296 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 41 : 9216 92160 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 40 : 9216 46080 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 39 : 9216 80544 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 38 : 9216 101024 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 37 : 9216 1030240 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 32 : 9216 969856 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 69 : 5151514 25761826 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 31 : 9216 947040 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 68 : 5151514 30909084 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 33 : 9216 1068992 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 34 : 9216 1052768 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 35 : 9216 1010816 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 72 : 9000 81000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 36 : 9216 1016928 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 73 : 9000 63000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 48 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 49 : 9000 0 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 51 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 52 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 53 : 9000 81000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 54 : 9000 1932608 0 0 0 2250 288 0 0 
particlefilter_naive.1.sm_52.ptx 55 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 56 : 9000 54000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 59 : 5160514 46444626 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 60 : 5160514 46444626 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 61 : 5160514 342517435 0 0 0 170040 170040 0 0 
particlefilter_naive.1.sm_52.ptx 62 : 5160514 30963084 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 63 : 5160514 30963084 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 64 : 5160514 45000 0 0 0 0 0 0 27 
particlefilter_naive.1.sm_52.ptx 66 : 5151514 46363626 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_52.ptx 67 : 5151514 30909084 0 0 0 0 0 0 0 
