kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
pathfinder.1.sm_52.ptx 157 : 592640 4789184 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 154 : 500000 3233992 0 0 0 33443 18486 0 0 
pathfinder.1.sm_52.ptx 153 : 500000 6361661 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 152 : 500000 6215783 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 151 : 500000 4626541 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 150 : 500000 15887788 0 18486 18486 0 0 0 0 
pathfinder.1.sm_52.ptx 148 : 592640 722940 0 0 0 0 0 0 4622 
pathfinder.1.sm_52.ptx 147 : 592640 5097152 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 146 : 592640 5017952 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 143 : 11141632 92030752 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 142 : 11141632 106141568 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 141 : 11141632 129937344 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 140 : 11141632 125734784 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 139 : 11141632 125218720 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 138 : 11141632 83065600 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 135 : 10258876 46609253 0 347564 347564 0 0 0 0 
pathfinder.1.sm_52.ptx 134 : 10258876 325548613 0 347564 347564 0 0 0 0 
pathfinder.1.sm_52.ptx 132 : 11141632 6317151 0 0 0 0 0 0 86900 
pathfinder.1.sm_52.ptx 131 : 11141632 95751040 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 129 : 11734272 4631936 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 128 : 11734272 100605376 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 127 : 11734272 92719424 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 124 : 10758876 92889152 0 0 0 0 0 0 0 
