kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad.1.sm_52.ptx 441 : 24576 133632 0 768 768 0 0 0 0 
srad.1.sm_52.ptx 440 : 24576 13600608 6144 0 0 1536 768 0 0 
srad.1.sm_52.ptx 439 : 24576 229696 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 438 : 24576 230176 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 437 : 24576 236416 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 436 : 24576 244864 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 538 : 786432 6188352 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 537 : 786432 9118432 0 0 0 98304 24576 0 0 
srad.1.sm_52.ptx 536 : 786432 31600128 0 24576 24576 0 0 0 0 
srad.1.sm_52.ptx 535 : 786432 5264512 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 534 : 786432 4524672 0 24576 24576 0 0 0 0 
srad.1.sm_52.ptx 533 : 786432 7815840 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 532 : 786432 7807712 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 531 : 786432 5354752 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 530 : 786432 5573376 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 529 : 786432 11183136 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 528 : 786432 5333472 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 527 : 786432 11038880 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 526 : 786432 5320480 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 525 : 786432 5477792 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 524 : 786432 28287680 0 24576 24576 0 0 0 0 
srad.1.sm_52.ptx 523 : 786432 7248128 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 522 : 786432 29901504 0 49152 24576 0 0 0 0 
srad.1.sm_52.ptx 521 : 786432 385161280 1751808 0 0 98304 24576 0 0 
srad.1.sm_52.ptx 520 : 786432 7532512 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 519 : 786432 5369024 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 518 : 786432 7215616 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 517 : 786432 395586304 1507328 0 0 98304 24576 0 0 
srad.1.sm_52.ptx 516 : 786432 7400736 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 515 : 786432 5107264 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 514 : 786432 7211392 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 513 : 786432 7135232 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 512 : 786432 33752864 0 27648 24576 0 0 0 0 
srad.1.sm_52.ptx 511 : 786432 411677472 1156480 0 0 98304 24576 0 0 
srad.1.sm_52.ptx 510 : 786432 8806272 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 509 : 786432 6008288 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 508 : 786432 398928768 1323136 0 0 98304 24576 0 0 
srad.1.sm_52.ptx 499 : 46080 391320 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 507 : 786432 8347872 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 498 : 46080 481365 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 506 : 786432 6715264 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 497 : 46080 509745 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 270 : 645120 6079950 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 269 : 645120 24184200 0 24576 24576 0 0 0 0 
srad.1.sm_52.ptx 222 : 3072 111887 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 221 : 3072 28831 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 220 : 3072 111393 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 211 : 3072 24147 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 210 : 3072 32242 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 209 : 3072 31094 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 208 : 3072 27984 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 207 : 3072 112356 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 206 : 3072 28863 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 217 : 774144 4887758 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 216 : 777216 19769 0 0 0 0 0 0 3072 
srad.1.sm_52.ptx 215 : 777216 5230888 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 214 : 777216 5187340 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 205 : 3072 107616 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 187 : 3072 24061 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 186 : 3072 32381 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 185 : 3072 30776 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 184 : 3072 27961 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 183 : 3072 112597 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 182 : 3072 28824 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 181 : 3072 112347 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 196 : 3072 22559 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 195 : 3072 23590 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 194 : 3072 30301 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 193 : 3072 27915 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 192 : 3072 110358 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 191 : 3072 28780 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 202 : 777216 4846128 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 201 : 780288 19110 0 0 0 0 0 0 3072 
srad.1.sm_52.ptx 200 : 780288 5188412 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 199 : 780288 5173556 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 190 : 3072 114668 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 178 : 780288 4872388 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 177 : 783360 19051 0 0 0 0 0 0 3072 
srad.1.sm_52.ptx 176 : 783360 5278247 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 175 : 783360 5253499 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 174 : 783360 5300565 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 172 : 786432 19243 0 0 0 0 0 0 3072 
srad.1.sm_52.ptx 171 : 786432 5433728 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 170 : 786432 6030944 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 169 : 786432 32740800 0 24576 24576 0 0 0 0 
srad.1.sm_52.ptx 168 : 786432 4932000 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 167 : 786432 4562656 0 24576 24576 0 0 0 0 
srad.1.sm_52.ptx 166 : 786432 7983200 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 503 : 691200 7722495 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 165 : 786432 8267840 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 502 : 691200 7352820 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 164 : 786432 5352832 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 155 : 24576 144256 0 768 768 0 0 0 0 
srad.1.sm_52.ptx 492 : 691200 5302845 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 148 : 24576 161888 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 147 : 24576 156160 0 768 768 0 0 0 0 
srad.1.sm_52.ptx 163 : 786432 245532640 1664 0 0 98304 24576 0 0 
srad.1.sm_52.ptx 154 : 24576 8037152 4352 0 0 1536 768 0 0 
srad.1.sm_52.ptx 491 : 737280 349380 0 0 0 0 0 0 3072 
srad.1.sm_52.ptx 162 : 786432 8442912 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 153 : 24576 256288 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 161 : 786432 8134816 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 152 : 24576 248832 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 146 : 24576 6730624 0 0 0 1536 768 0 0 
srad.1.sm_52.ptx 483 : 737280 5901210 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 160 : 786432 5873120 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 91 : 786432 8524960 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 428 : 786432 8066016 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 90 : 786432 5391456 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 427 : 786432 5070720 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 256 : 645120 4180170 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 89 : 786432 332111744 94592 0 0 49152 24576 0 0 
srad.1.sm_52.ptx 426 : 786432 352846720 130656 0 0 49152 24576 0 0 
srad.1.sm_52.ptx 255 : 688128 270046 0 0 0 0 0 0 3072 
srad.1.sm_52.ptx 88 : 786432 8446624 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 425 : 786432 8451904 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 87 : 786432 8446464 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 424 : 786432 8094432 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 86 : 786432 4663904 0 24576 24576 0 0 0 0 
srad.1.sm_52.ptx 423 : 786432 5024608 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 252 : 43008 324520 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 85 : 786432 8390976 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 422 : 786432 4159584 0 24576 24576 0 0 0 0 
srad.1.sm_52.ptx 251 : 43008 448560 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 84 : 786432 6313408 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 421 : 786432 8619648 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 250 : 43008 421904 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 83 : 786432 8479008 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 420 : 786432 6576160 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 249 : 43008 393778 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 82 : 786432 6000416 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 419 : 786432 8815584 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 248 : 43008 1685012 0 3072 3072 0 0 0 0 
srad.1.sm_52.ptx 81 : 786432 6255488 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 418 : 786432 6913824 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 247 : 43008 407414 0 0 0 0 0 0 0 
srad.1.sm_52.ptx 80 : 786432 465645344 96224 0 0 49152 24576 0 0 
srad.1.sm_52.ptx 417 : 786432 6961664 0 0 0 0 0 0 0 
