kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stencil3d.1.sm_52.ptx 196 : 65536 718656 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 195 : 65536 774400 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 189 : 12288 2364864 0 0 0 1536 384 0 0 
stencil3d.1.sm_52.ptx 194 : 65536 771232 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 188 : 12288 135904 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 193 : 65536 751520 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 187 : 12288 148096 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 192 : 65536 922656 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 186 : 12288 150016 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 168 : 12288 2626240 0 0 0 1536 384 0 0 
stencil3d.1.sm_52.ptx 185 : 12288 134400 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 167 : 12288 117472 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 184 : 12288 127136 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 182 : 16384 27200 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 166 : 12288 119072 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 181 : 16384 115616 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 180 : 16384 114944 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 165 : 12288 144128 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 177 : 49152 356544 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 173 : 16384 108192 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 164 : 12288 149120 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 176 : 49152 1432256 0 1536 1536 0 0 0 0 
stencil3d.1.sm_52.ptx 172 : 65536 380480 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 163 : 12288 130368 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 171 : 65536 469152 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 146 : 7168 1341536 0 0 0 896 896 0 0 
stencil3d.1.sm_52.ptx 161 : 16384 31296 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 145 : 7168 79704 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 160 : 16384 120064 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 159 : 16384 126208 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 144 : 7168 81784 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 158 : 16384 167456 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 155 : 49152 352320 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 151 : 16384 116768 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 154 : 49152 1407744 0 1536 1536 0 0 0 0 
stencil3d.1.sm_52.ptx 143 : 7168 93016 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 150 : 65536 343296 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 142 : 7168 92768 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 149 : 65536 477824 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 140 : 8192 5888 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 126 : 7168 1353864 0 0 0 896 896 0 0 
stencil3d.1.sm_52.ptx 125 : 7168 80912 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 124 : 7168 83240 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 66 : 65536 545600 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 65 : 65536 840128 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 64 : 65536 574560 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 63 : 65536 477600 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 60 : 65536 15941216 0 0 0 8192 2048 0 0 
stencil3d.1.sm_52.ptx 139 : 8192 57384 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 58 : 65536 0 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 57 : 65536 524352 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 56 : 65536 548640 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 135 : 57344 370120 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 55 : 65536 818656 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 134 : 57344 1747112 0 2048 2048 0 0 0 0 
stencil3d.1.sm_52.ptx 54 : 65536 762400 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 53 : 65536 669824 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 52 : 65536 850272 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 131 : 8192 50392 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 51 : 65536 1000192 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 130 : 65536 379720 0 0 0 0 0 0 1024 
stencil3d.1.sm_52.ptx 50 : 65536 462176 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 129 : 65536 455744 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 49 : 65536 453472 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 48 : 65536 444768 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 47 : 65536 489120 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 46 : 65536 895136 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 35 : 65536 820640 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 114 : 57344 430584 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 34 : 65536 867552 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 113 : 57344 2409192 0 2048 2048 0 0 0 0 
stencil3d.1.sm_52.ptx 200 : 65536 1230016 0 0 0 8192 2048 0 0 
stencil3d.1.sm_52.ptx 33 : 65536 854944 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 199 : 65536 708096 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 32 : 65536 7335904 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 67 : 65536 748608 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 197 : 65536 695424 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 30 : 65536 15005824 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 109 : 65536 443072 0 0 0 0 0 0 1024 
stencil3d.1.sm_52.ptx 68 : 65536 548608 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 198 : 65536 531712 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 31 : 65536 15228672 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 110 : 8192 51120 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 203 : 65536 534752 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 36 : 65536 456672 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 37 : 65536 479968 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 38 : 65536 1141664 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 117 : 8192 96328 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 39 : 65536 496704 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 118 : 8192 69040 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 40 : 65536 426432 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 119 : 8192 85616 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 41 : 65536 447744 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 120 : 8192 7128 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 42 : 65536 737600 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 43 : 65536 504320 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 122 : 7168 79112 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 44 : 65536 441952 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 123 : 7168 93088 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 45 : 65536 444512 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 69 : 65536 719328 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 70 : 65536 454144 0 2048 2048 0 0 0 0 
stencil3d.1.sm_52.ptx 71 : 65536 428000 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 72 : 65536 0 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 74 : 65536 1999424 0 2048 2048 0 0 0 0 
stencil3d.1.sm_52.ptx 75 : 65536 483392 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 76 : 65536 360976 0 0 0 0 0 0 2048 
stencil3d.1.sm_52.ptx 80 : 57344 1889664 0 2048 2048 0 0 0 0 
stencil3d.1.sm_52.ptx 81 : 57344 398776 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 77 : 8192 57192 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 84 : 8192 84324 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 85 : 8192 58104 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 86 : 8192 53652 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 87 : 8192 7860 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 89 : 7168 1742784 0 0 0 7168 1792 0 0 
stencil3d.1.sm_52.ptx 92 : 65536 658048 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 93 : 65536 436352 0 0 0 0 0 0 2048 
stencil3d.1.sm_52.ptx 97 : 57344 2144772 0 2048 2048 0 0 0 0 
stencil3d.1.sm_52.ptx 98 : 57344 410732 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 94 : 8192 55828 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 101 : 8192 55868 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 102 : 8192 57544 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 103 : 8192 6620 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 105 : 7168 1925684 0 0 0 7168 1792 0 0 
stencil3d.1.sm_52.ptx 108 : 65536 642400 0 0 0 0 0 0 0 
stencil3d.1.sm_52.ptx 138 : 8192 54224 0 0 0 0 0 0 0 
