kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
streamcluster.1.sm_52.ptx 178 : 131072 7761824 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 175 : 126004 32231142 0 0 0 124222 4096 0 0 
streamcluster.1.sm_52.ptx 174 : 126004 7182714 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 173 : 126004 397685946 3952928 0 0 124222 4096 0 0 
streamcluster.1.sm_52.ptx 172 : 126004 5452765 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 171 : 126004 4412412 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 170 : 126004 5442038 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 161 : 5068 239451 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 160 : 5068 1051292 0 0 0 5068 2896 0 0 
streamcluster.1.sm_52.ptx 159 : 5068 225183 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 169 : 126004 63675736 1088 0 0 53735 4096 0 0 
streamcluster.1.sm_52.ptx 168 : 126004 2828548 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 167 : 126004 3197019 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 166 : 126004 4827841 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 165 : 126004 38691785 45664 0 0 126004 4096 0 0 
streamcluster.1.sm_52.ptx 164 : 126004 2257415 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 158 : 5068 9054877 162176 0 0 5068 2896 0 0 
streamcluster.1.sm_52.ptx 157 : 5068 111335 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 156 : 5068 99585 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 155 : 5068 79940 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 154 : 5068 107424 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 153 : 5068 89286 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 152 : 5068 906461 0 0 0 5068 2896 0 0 
streamcluster.1.sm_52.ptx 151 : 5068 412900 0 0 0 2896 2896 0 0 
streamcluster.1.sm_52.ptx 150 : 5068 78345 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 149 : 5068 113249 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 148 : 5068 78982 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 145 : 126004 4005697 0 0 0 0 0 0 0 
streamcluster.1.sm_52.ptx 144 : 131072 150769 0 0 0 0 0 0 2896 
streamcluster.1.sm_52.ptx 70 : 131072 0 0 0 0 0 0 0 0 
